id,frame,x,y,action
0,0,0,0,0
1,1,0,403,0
2,2,0,403,0
3,3,0,403,0
4,4,0,403,0
5,5,0,403,0
6,6,0,403,0
7,7,0,403,0
8,8,0,403,0
9,9,0,403,0
10,10,0,403,0
11,11,0,403,0
12,12,0,403,0
13,13,0,403,0
14,14,0,403,0
15,15,0,403,0
16,16,0,403,0
17,17,0,403,0
18,18,0,403,0
19,19,0,403,0
20,20,0,403,0
21,21,0,403,0
22,22,0,403,0
23,23,0,403,0
24,24,0,403,0
25,25,0,403,0
26,26,0,403,0
27,27,0,403,0
28,28,0,403,0
29,29,0,403,0
30,30,0,403,0
31,31,0,403,0
32,32,0,403,0
33,33,0,403,0
34,34,0,403,0
35,35,0,403,0
36,36,0,403,0
37,37,0,403,0
38,38,0,403,0
39,39,0,403,0
40,40,0,403,0
41,41,0,403,0
42,42,0,403,0
43,43,0,403,0
44,44,0,403,0
45,45,0,403,0
46,46,0,403,0
47,47,0,403,0
48,48,0,403,0
49,49,0,403,0
50,50,0,403,0
51,51,0,403,0
52,52,0,403,0
53,53,0,403,0
54,54,0,403,0
55,55,5,395,0
56,56,14,385,0
57,57,27,372,0
58,58,44,361,0
59,59,64,350,0
60,60,85,343,0
61,61,106,339,0
62,62,125,336,0
63,63,144,336,0
64,64,150,336,0
65,65,164,342,0
66,66,170,348,0
67,67,176,356,0
68,68,181,365,0
69,69,185,374,0
70,70,189,382,0
71,71,191,389,0
72,72,193,397,0
73,73,194,402,0
74,74,195,404,0
75,75,195,406,0
76,76,195,408,0
77,77,195,408,0
78,78,195,409,0
79,79,195,409,0
80,80,195,410,0
81,81,195,410,0
82,82,195,410,0
83,83,195,410,0
84,84,195,410,0
85,85,195,410,0
86,86,195,410,0
87,87,195,410,0
88,88,195,410,0
89,89,195,410,0
90,90,195,410,0
91,91,195,410,0
92,92,195,410,0
93,93,195,410,0
94,94,195,410,0
95,95,195,410,0
96,96,195,410,0
97,97,195,410,0
98,98,201,397,0
99,99,210,384,0
100,100,224,372,0
101,101,241,361,0
102,102,259,353,0
103,103,280,348,0
104,104,302,346,0
105,105,321,346,0
106,106,336,346,0
107,107,349,349,0
108,108,361,355,0
109,109,380,369,0
110,110,392,381,0
111,111,402,393,0
112,112,410,402,0
113,113,414,408,0
114,114,417,415,0
115,115,418,418,0
116,116,419,421,0
117,117,420,422,0
118,118,420,423,0
119,119,420,423,0
120,120,420,424,0
121,121,420,424,0
122,122,420,424,0
123,123,420,424,0
124,124,420,424,0
125,125,420,424,0
126,126,420,424,0
127,127,420,424,0
128,128,420,424,0
129,129,420,424,0
130,130,420,424,0
131,131,420,424,0
132,132,420,424,0
133,133,420,424,0
134,134,420,423,0
135,135,420,416,0
136,136,426,405,0
137,137,433,393,0
138,138,448,373,0
139,139,462,361,0
140,140,476,352,0
141,141,488,347,0
142,142,501,343,0
143,143,515,341,0
144,144,527,341,0
145,145,538,341,0
146,146,547,342,0
147,147,555,347,0
148,148,564,353,0
149,149,574,362,0
150,150,585,371,0
151,151,595,382,0
152,152,605,393,0
153,153,616,410,0
154,154,620,416,0
155,155,624,422,0
156,156,627,427,0
157,157,629,431,0
158,158,631,434,0
159,159,632,436,0
160,160,633,438,0
161,161,634,438,0
162,162,634,439,0
163,163,634,439,0
164,164,634,439,0
165,165,634,439,0
166,166,634,439,0
167,167,634,439,0
168,168,634,439,0
169,169,634,439,0
170,170,634,439,0
171,171,634,439,0
172,172,634,439,0
173,173,634,439,0
174,174,634,439,0
175,175,634,439,0
176,176,634,439,0
177,177,634,439,0
178,178,634,439,0
179,179,634,439,0
180,180,634,439,0
181,181,634,439,0
182,182,634,439,0
183,183,634,439,0
184,184,634,439,0
185,185,634,439,0
186,186,634,439,0
187,187,634,439,0
188,188,634,439,0
189,189,634,439,0
190,190,634,439,0
191,191,634,439,0
192,192,634,439,0
193,193,634,439,0
194,194,634,439,0
195,195,634,439,0
196,196,634,439,0
197,197,634,439,0
198,198,634,439,0
199,199,634,439,0
200,200,634,439,0
201,201,634,439,0
202,202,634,439,0
203,203,634,439,0
204,204,634,439,0
205,205,634,439,0
206,206,634,439,0
207,207,634,439,0
208,208,634,439,0
209,209,634,439,0
210,210,634,439,0
211,211,634,439,0
212,212,634,439,0
213,213,634,439,0
214,214,634,439,0
215,215,634,439,0
216,216,634,439,0
217,217,634,439,0
218,218,634,439,0
219,219,634,439,0
220,220,634,439,0
221,221,634,439,0
222,222,634,439,0
223,223,634,439,0
224,224,634,439,0
225,225,634,439,0
226,226,634,439,0
227,227,634,439,0
228,228,634,439,0
229,229,634,439,0
230,230,634,439,0
231,231,634,439,0
232,232,634,439,0
233,233,634,439,0
234,234,634,439,0
235,235,634,439,0
236,236,634,439,0
237,237,634,439,0
238,238,634,439,0
239,239,634,439,0
240,240,634,439,0
241,241,634,439,0
242,242,634,439,0
243,243,634,439,0
244,244,634,439,0
245,245,634,439,0
246,246,634,439,0
247,247,634,439,0
248,248,634,439,0
249,249,634,439,0
250,250,634,439,0
251,251,634,439,0
252,252,634,439,0
253,253,634,439,0
254,254,634,439,0
255,255,634,439,0
256,256,634,439,0
257,257,634,439,0
258,258,634,439,0
259,259,634,439,0
260,260,634,439,0
261,261,634,439,0
262,262,634,439,0
263,263,634,439,0
264,264,634,439,0
265,265,634,439,0
266,266,634,439,0
267,267,634,439,0
268,268,634,439,0
269,269,634,439,0
270,270,634,439,0
271,271,634,439,0
272,272,634,439,0
273,273,634,439,0
274,274,634,439,0
275,275,634,439,0
276,276,634,439,0
277,277,634,439,0
278,278,634,439,0
279,279,634,437,0
280,280,642,425,0
281,281,655,411,0
282,282,668,399,0
283,283,684,387,0
284,284,701,381,0
285,285,716,378,0
286,286,723,378,0
287,287,733,378,0
288,288,739,380,0
289,289,746,385,0
290,290,751,391,0
291,291,756,397,0
292,292,765,410,0
293,293,770,419,0
294,294,773,424,0
295,295,775,430,0
296,296,776,433,0
297,297,777,435,0
298,298,777,436,0
299,299,777,436,0
300,300,777,436,0
301,301,777,436,0
302,302,777,436,0
303,303,777,436,0
304,304,777,436,0
305,305,777,433,0
306,306,778,430,0
307,307,780,423,0
308,308,787,410,0
309,309,793,402,0
310,310,801,393,0
311,311,812,386,0
312,312,822,381,0
313,313,829,380,0
314,314,841,378,0
315,315,848,378,0
316,316,856,381,0
317,317,865,387,0
318,318,876,397,0
319,319,885,408,0
320,320,893,419,0
321,321,897,428,0
322,322,902,438,0
323,323,904,446,0
324,324,905,449,0
325,325,905,449,0
326,326,905,451,0
327,327,905,451,0
328,328,905,451,0
329,329,905,450,0
330,330,905,449,0
331,331,905,446,0
332,332,906,440,0
333,333,909,432,0
334,334,913,423,0
335,335,919,415,0
336,336,928,407,0
337,337,934,404,0
338,338,944,402,0
339,339,951,402,0
340,340,960,402,0
341,341,965,402,0
342,342,981,408,0
343,343,992,414,0
344,344,1001,421,0
345,345,1007,427,0
346,346,1013,435,0
347,347,1016,440,0
348,348,1018,445,0
349,349,1020,450,0
350,350,1021,453,0
351,351,1022,456,0
352,352,1022,457,0
353,353,1022,457,0
354,354,1022,457,0
355,355,1022,457,0
356,356,1022,457,0
357,357,1022,457,0
358,358,1022,457,0
359,359,1022,457,0
360,360,1022,457,0
361,361,1022,457,0
362,362,1022,457,0
363,363,1022,457,0
364,364,1022,457,0
365,365,1022,457,0
366,366,1022,457,0
367,367,1022,457,0
368,368,1022,457,0
369,369,1022,457,0
370,370,1022,457,0
371,371,1022,457,0
372,372,1022,457,0
373,373,1022,457,0
374,374,1022,457,0
375,375,1022,457,0
376,376,1022,457,0
377,377,1022,457,0
378,378,1022,457,0
379,379,1022,457,0
380,380,1022,457,0
381,381,1022,457,0
382,382,1022,457,0
383,383,1022,457,0
384,384,1022,457,0
385,385,1022,457,0
386,386,1022,457,0
387,387,1022,457,0
388,388,1022,457,0
389,389,1022,457,0
390,390,1022,457,0
391,391,1022,457,0
392,392,1022,457,0
393,393,1022,457,0
394,394,1022,457,0
395,395,1022,457,0
396,396,1022,457,0
397,397,1022,457,0
398,398,1022,457,0
399,399,1022,457,0
400,400,1022,457,0
401,401,1022,457,0
402,402,1022,457,0
403,403,1022,457,0
404,404,1022,457,0
405,405,1022,457,0
406,406,1022,457,0
407,407,1022,457,0
408,408,1022,457,0
409,409,1022,457,0
410,410,1022,457,0
411,411,1022,457,0
412,412,1022,457,0
413,413,1022,457,0
414,414,1022,457,0
415,415,1022,457,0
416,416,1022,457,0
417,417,1022,457,0
418,418,1022,457,0
419,419,1022,457,0
420,420,1022,457,0
421,421,1022,457,0
422,422,1022,457,0
423,423,1022,457,0
424,424,1022,457,0
425,425,1022,457,0
426,426,1022,457,0
427,427,1022,457,0
428,428,1022,457,0
429,429,1022,454,0
430,430,1022,439,0
431,431,1022,421,0
432,432,1022,400,0
433,433,1023,379,0
434,434,1026,362,0
435,435,1030,347,0
436,436,1034,331,0
437,437,1038,320,0
